symbol,industry,sector_name,assignment_count,is_unique_assignment
000415.SZ,综合金融服务,GICS4综合金融服务,1,True
000418.SZ,家用电器,GICS4家用电器,1,True
000419.SZ,日常消费品零售,GICS4日常消费品零售,1,True
00042.HK,电气部件与设备,GICS4电气部件与设备,1,True
000420.SZ,商品化工,GICS4商品化工,1,True
000421.SZ,工业集团企业,GICS4工业集团企业,1,True
000422.SZ,化肥与农用药剂,GICS4化肥与农用药剂,1,True
000423.SZ,制药,GICS4制药,1,True
000425.SZ,建筑机械与重型运输设备,GICS4建筑机械与重型运输设备,1,True
000426.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
000428.SZ,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
000429.SZ,公路与铁路,GICS4公路与铁路,1,True
000430.SZ,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
00045.HK,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
00046.HK,信息科技咨询与其它服务,GICS4信息科技咨询与其它服务,1,True
00048.HK,汽车零件与设备,GICS4汽车零件与设备,1,True
000488.SZ,纸制品,GICS4纸制品,1,True
000498.SZ,建筑与工程,GICS4建筑与工程,1,True
00050.HK,多元化房地产业务,GICS4多元化房地产业务,1,True
000502.SZ,房地产开发,GICS4房地产开发,1,True
000503.SZ,互联网服务与基础架构,GICS4互联网服务与基础架构,1,True
000504.SZ,出版,GICS4出版,1,True
000505.SZ,农产品与服务,GICS4农产品与服务,1,True
000506.SZ,黄金,GICS4黄金,1,True
000507.SZ,电力公用事业,GICS4电力公用事业,1,True
000508.SZ,工业集团企业,GICS4工业集团企业,1,True
000509.SZ,电子元件,GICS4电子元件,1,True
00051.HK,房地产开发,GICS4房地产开发,1,True
000510.SZ,商品化工,GICS4商品化工,1,True
000511.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
000513.SZ,制药,GICS4制药,1,True
000514.SZ,房地产开发,GICS4房地产开发,1,True
000515.SZ,商品化工,GICS4商品化工,1,True
000517.SZ,房地产开发,GICS4房地产开发,1,True
000518.SZ,制药,GICS4制药,1,True
000519.SZ,航天航空与国防,GICS4航天航空与国防,1,True
00052.HK,餐馆,GICS4餐馆,1,True
000520.SZ,海上运输,GICS4海上运输,1,True
000521.SZ,家用电器,GICS4家用电器,1,True
000522.SZ,制药,GICS4制药,1,True
000523.SZ,工业集团企业,GICS4工业集团企业,1,True
000524.SZ,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
000525.SZ,化肥与农用药剂,GICS4化肥与农用药剂,1,True
000526.SZ,教育服务,GICS4教育服务,1,True
000527.SZ,家用电器,GICS4家用电器,1,True
000528.SZ,建筑机械与重型运输设备,GICS4建筑机械与重型运输设备,1,True
000529.SZ,包装食品与肉类,GICS4包装食品与肉类,1,True
00053.HK,工业集团企业,GICS4工业集团企业,1,True
000530.SZ,工业机械、物料与部件,GICS4工业机械、物料与部件,1,True
000531.SZ,电力公用事业,GICS4电力公用事业,1,True
000532.SZ,电子设备和仪器,GICS4电子设备和仪器,1,True
000533.SZ,家用电器,GICS4家用电器,1,True
000534.SZ,房地产开发,GICS4房地产开发,1,True
000535.SZ,工业机械、物料与部件,GICS4工业机械、物料与部件,1,True
000536.SZ,电子元件,GICS4电子元件,1,True
000537.SZ,电力公用事业,GICS4电力公用事业,1,True
000538.SZ,制药,GICS4制药,1,True
000539.SZ,电力公用事业,GICS4电力公用事业,1,True
000540.SZ,房地产开发,GICS4房地产开发,1,True
000541.SZ,家用电器,GICS4家用电器,1,True
000543.SZ,电力公用事业,GICS4电力公用事业,1,True
000544.SZ,环境与设施服务,GICS4环境与设施服务,1,True
000545.SZ,商品化工,GICS4商品化工,1,True
000546.SZ,环境与设施服务,GICS4环境与设施服务,1,True
000547.SZ,通信设备,GICS4通信设备,1,True
000548.SZ,公路与铁路,GICS4公路与铁路,1,True
00055.HK,商业印刷,GICS4商业印刷,1,True
000550.SZ,汽车制造商,GICS4汽车制造商,1,True
000551.SZ,工业集团企业,GICS4工业集团企业,1,True
000552.SZ,煤与消费用燃料,GICS4煤与消费用燃料,1,True
000553.SZ,化肥与农用药剂,GICS4化肥与农用药剂,1,True
000554.SZ,石油与天然气的炼制和营销,GICS4石油与天然气的炼制和营销,1,True
000555.SZ,信息科技咨询与其它服务,GICS4信息科技咨询与其它服务,1,True
000556.SZ,海上运输,GICS4海上运输,1,True
000557.SZ,铁路运输,GICS4铁路运输,1,True
000558.SZ,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
000559.SZ,汽车零件与设备,GICS4汽车零件与设备,1,True
000561.SZ,通信设备,GICS4通信设备,1,True
000562.SZ,投资银行业与经纪业,GICS4投资银行业与经纪业,1,True
000563.SZ,资产管理与托管银行,GICS4资产管理与托管银行,1,True
000565.SZ,商品化工,GICS4商品化工,1,True
000566.SZ,制药,GICS4制药,1,True
000567.SZ,资产管理与托管银行,GICS4资产管理与托管银行,1,True
000568.SZ,酿酒商与葡萄酒商,GICS4酿酒商与葡萄酒商,1,True
000569.SZ,钢铁,GICS4钢铁,1,True
00057.HK,工业机械、物料与部件,GICS4工业机械、物料与部件,1,True
000570.SZ,建筑机械与重型运输设备,GICS4建筑机械与重型运输设备,1,True
000571.SZ,煤与消费用燃料,GICS4煤与消费用燃料,1,True
000572.SZ,汽车制造商,GICS4汽车制造商,1,True
000573.SZ,房地产开发,GICS4房地产开发,1,True
000576.SZ,纸制品,GICS4纸制品,1,True
000578.SZ,化肥与农用药剂,GICS4化肥与农用药剂,1,True
00058.HK,建筑材料,GICS4建筑材料,1,True
000581.SZ,汽车零件与设备,GICS4汽车零件与设备,1,True
000582.SZ,海港与服务,GICS4海港与服务,1,True
000583.SZ,应用软件,GICS4应用软件,1,True
000584.SZ,工业机械、物料与部件,GICS4工业机械、物料与部件,1,True
000585.SZ,电气部件与设备,GICS4电气部件与设备,1,True
000586.SZ,通信设备,GICS4通信设备,1,True
000587.SZ,服装、服饰与奢侈品,GICS4服装、服饰与奢侈品,1,True
000588.SZ,包装食品与肉类,GICS4包装食品与肉类,1,True
000589.SZ,轮胎与橡胶,GICS4轮胎与橡胶,1,True
000590.SZ,制药,GICS4制药,1,True
000591.SZ,新能源发电业者,GICS4新能源发电业者,1,True
000592.SZ,林业产品,GICS4林业产品,1,True
000593.SZ,石油与天然气的炼制和营销,GICS4石油与天然气的炼制和营销,1,True
000594.SZ,铁路运输,GICS4铁路运输,1,True
000595.SZ,工业机械、物料与部件,GICS4工业机械、物料与部件,1,True
000596.SZ,酿酒商与葡萄酒商,GICS4酿酒商与葡萄酒商,1,True
000597.SZ,制药,GICS4制药,1,True
000598.SZ,水公用事业,GICS4水公用事业,1,True
000599.SZ,轮胎与橡胶,GICS4轮胎与橡胶,1,True
00060.HK,食品分销商,GICS4食品分销商,1,True
000600.SZ,电力公用事业,GICS4电力公用事业,1,True
000601.SZ,电力公用事业,GICS4电力公用事业,1,True
000602.SZ,独立电力生产商与能源贸易商,GICS4独立电力生产商与能源贸易商,1,True
000603.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
000605.SZ,水公用事业,GICS4水公用事业,1,True
000606.SZ,互联网服务与基础架构,GICS4互联网服务与基础架构,1,True
000607.SZ,广告,GICS4广告,1,True
000608.SZ,房地产开发,GICS4房地产开发,1,True
000609.SZ,房地产开发,GICS4房地产开发,1,True
00061.HK,钢铁,GICS4钢铁,1,True
000610.SZ,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
000611.SZ,纺织品,GICS4纺织品,1,True
000612.SZ,铝,GICS4铝,1,True
000613.SZ,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
000615.SZ,房地产开发,GICS4房地产开发,1,True
000616.SZ,资产管理与托管银行,GICS4资产管理与托管银行,1,True
000617.SZ,综合金融服务,GICS4综合金融服务,1,True
000618.SZ,商品化工,GICS4商品化工,1,True
000619.SZ,建筑产品,GICS4建筑产品,1,True
00062.HK,地面客运,GICS4地面客运,1,True
000620.SZ,房地产开发,GICS4房地产开发,1,True
000621.SZ,信息科技咨询与其它服务,GICS4信息科技咨询与其它服务,1,True
000622.SZ,汽车零件与设备,GICS4汽车零件与设备,1,True
000623.SZ,制药,GICS4制药,1,True
000625.SZ,汽车制造商,GICS4汽车制造商,1,True
000626.SZ,贸易公司与经销商,GICS4贸易公司与经销商,1,True
000627.SZ,人寿与健康保险,GICS4人寿与健康保险,1,True
000628.SZ,建筑与工程,GICS4建筑与工程,1,True
000629.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
00063.HK,房地产经营公司,GICS4房地产经营公司,1,True
000630.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
000631.SZ,房地产开发,GICS4房地产开发,1,True
000632.SZ,贸易公司与经销商,GICS4贸易公司与经销商,1,True
000633.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
000635.SZ,商品化工,GICS4商品化工,1,True
000636.SZ,电子元件,GICS4电子元件,1,True
000637.SZ,商品化工,GICS4商品化工,1,True
000638.SZ,航天航空与国防,GICS4航天航空与国防,1,True
000639.SZ,医疗保健用品,GICS4医疗保健用品,1,True
00064.HK,投资银行业与经纪业,GICS4投资银行业与经纪业,1,True
00065.HK,煤与消费用燃料,GICS4煤与消费用燃料,1,True
000650.SZ,制药,GICS4制药,1,True
000651.SZ,家用电器,GICS4家用电器,1,True
000652.SZ,贸易公司与经销商,GICS4贸易公司与经销商,1,True
000653.SZ,贸易公司与经销商,GICS4贸易公司与经销商,1,True
000655.SZ,钢铁,GICS4钢铁,1,True
000656.SZ,房地产开发,GICS4房地产开发,1,True
000657.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
000658.SZ,工业集团企业,GICS4工业集团企业,1,True
000659.SZ,金属、玻璃及塑料器皿,GICS4金属、玻璃及塑料器皿,1,True
00066.HK,公路与铁路,GICS4公路与铁路,1,True
000660.SZ,电气部件与设备,GICS4电气部件与设备,1,True
000661.SZ,生物科技,GICS4生物科技,1,True
000662.SZ,信息科技咨询与其它服务,GICS4信息科技咨询与其它服务,1,True
000663.SZ,林业产品,GICS4林业产品,1,True
000665.SZ,有线和卫星,GICS4有线和卫星,1,True
000666.SZ,资产管理与托管银行,GICS4资产管理与托管银行,1,True
000667.SZ,房地产开发,GICS4房地产开发,1,True
000668.SZ,建筑与工程,GICS4建筑与工程,1,True
000669.SZ,石油天然气设备与服务,GICS4石油天然气设备与服务,1,True
000670.SZ,电子设备和仪器,GICS4电子设备和仪器,1,True
000671.SZ,房地产开发,GICS4房地产开发,1,True
000672.SZ,建筑材料,GICS4建筑材料,1,True
000673.SZ,电影和娱乐,GICS4电影和娱乐,1,True
000675.SZ,商品化工,GICS4商品化工,1,True
000676.SZ,互联网服务与基础架构,GICS4互联网服务与基础架构,1,True
000677.SZ,商品化工,GICS4商品化工,1,True
000678.SZ,汽车零件与设备,GICS4汽车零件与设备,1,True
000680.SZ,建筑机械与重型运输设备,GICS4建筑机械与重型运输设备,1,True
000681.SZ,信息科技咨询与其它服务,GICS4信息科技咨询与其它服务,1,True
000682.SZ,电气部件与设备,GICS4电气部件与设备,1,True
000683.SZ,商品化工,GICS4商品化工,1,True
000685.SZ,水公用事业,GICS4水公用事业,1,True
000686.SZ,投资银行业与经纪业,GICS4投资银行业与经纪业,1,True
000687.SZ,通信设备,GICS4通信设备,1,True
000688.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
000689.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
00069.HK,酒店、度假村与豪华游轮,GICS4酒店、度假村与豪华游轮,1,True
000690.SZ,电力公用事业,GICS4电力公用事业,1,True
000691.SZ,商品化工,GICS4商品化工,1,True
000692.SZ,复合型公用事业,GICS4复合型公用事业,1,True
000693.SZ,多种金属与采矿,GICS4多种金属与采矿,1,True
000695.SZ,商品化工,GICS4商品化工,1,True
000697.SZ,航天航空与国防,GICS4航天航空与国防,1,True
000698.SZ,商品化工,GICS4商品化工,1,True
000699.SZ,纸制品,GICS4纸制品,1,True
00070.HK,赌场与赌博,GICS4赌场与赌博,1,True
000700.SZ,汽车零件与设备,GICS4汽车零件与设备,1,True
